,name,multiverse_id,colors,color_identity,supertypes,text,flavor,number,power,toughness,loyalty
22915,Twinferno,574629.0,['R'],['R'],,"Choose one —
• When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.
• Target creature you control gains double strike until end of turn.","""More fire?"" Jaya asked.
""More fire,"" Jodah agreed.",149,,,
22920,Barkweave Crusher,574634.0,['G'],['G'],,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)","""Phyrexia may be ancient, but Gaea is eternal.""
—Queen Allenal of Ruadach",154,2,5,
22921,Bite Down,574635.0,['G'],['G'],,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,"""Yavimaya takes care of herself; the kavu are evidence of this. What does your Coalition offer that the forest cannot provide?""
—Jenson Carthalion",155,,,
22923,Broken Wings,574637.0,['G'],['G'],,"Destroy target artifact, enchantment, or creature with flying.","""Serra guides our shots true. Also, I just tuned the cannons.""
—Tiana",157,,,
22925,Deathbloom Gardener,574639.0,['G'],['G'],,"Deathtouch
{T}: Add one mana of any color.","""I can provide the Coalition with poisons that will break down Phyrexian machinery as easily as they stop the heart.""",159,1,1,
22927,Elfhame Wurm,574641.0,['G'],['G'],,"Vigilance, trample","The wurms consume everything in their path, so the elves make sure that their path goes through as many Phyrexians as possible.",161,5,4,
22930,Gaea's Might,574644.0,['G'],['G'],,Domain — Target creature gets +1/+1 until end of turn for each basic land type among lands you control.,"""Why fight over the lumber in a tree's trunk when its branches have room for all?""
—Multani",164,,,
22933,Leaf-Crowned Visionary,574647.0,['G'],['G'],,"Other Elves you control get +1/+1.
Whenever you cast an Elf spell, you may pay {G}. If you do, draw a card.","""The seedling you save today may be the sheltering boughs of generations to come.""",167,1,1,
22936,Llanowar Loamspeaker,574650.0,['G'],['G'],,"{T}: Add one mana of any color.
{T}: Target land you control becomes a 3/3 Elemental creature with haste until end of turn. It's still a land. Activate only as a sorcery.",Twigs broken underfoot in Llanowar tend to return the favor.,170,1,3,
22937,Llanowar Stalker,574651.0,['G'],['G'],,"Whenever another creature enters the battlefield under your control, Llanowar Stalker gets +1/+0 until end of turn.","If you spot one elf in Llanowar, it's likely there's another with a knife at your back.",171,1,1,
22938,Magnigoth Sentry,574652.0,['G'],['G'],,Reach,"When one of Yavimaya's enormous magnigoth trees awakens into a treefolk, it is a towering presence of physical strength and ancient wisdom.",172,4,4,
22939,Mossbeard Ancient,574653.0,['G'],['G'],,"Trample
When Mossbeard Ancient enters the battlefield, you gain 5 life.","Older than the mountains, the dragons, and the wars of humans and machines.",173,7,7,
22940,Nishoba Brawler,574654.0,['G'],['G'],,"Trample
Domain — Nishoba Brawler's power is equal to the number of basic land types among lands you control.","Though native to cold climates, the nishoba have adapted to more temperate environments since the Ice Age ended.",174,*,3,
22945,Snarespinner,574659.0,['G'],['G'],,"Reach
Whenever Snarespinner blocks a creature with flying, Snarespinner gets +2/+0 until end of turn.","In the rich jungles of Yavimaya, bright colors are the perfect camouflage.",179,1,3,
22947,Sunbathing Rootwalla,574661.0,['G'],['G'],,"Domain — {3}{G}: Until end of turn, Sunbathing Rootwalla gets +1/+1 for each basic land type among lands you control. Activate only once each turn.",A rootwalla's prey includes anything or anyone that wanders into view.,181,2,2,
22950,Territorial Maro,574664.0,['G'],['G'],,Domain — Territorial Maro's power and toughness are each equal to twice the number of basic land types among lands you control.,The Coalition was more than just treaties and alliances: it was the soul of a world rising up against the invading tide.,184,*,*,
22957,Yavimaya Sojourner,574671.0,['G'],['G'],,Domain — This spell costs {1} less to cast for each basic land type among lands you control.,"To the long-lived treefolk, the Phyrexians invading again after only three centuries was as though they never left.",191,4,6,
23048,Serra Redeemer,577778.0,['W'],['W'],,"Flying
Whenever another creature with power 2 or less enters the battlefield under your control, put two +1/+1 counters on that creature.","""Heroism is neither a strong arm nor a divine destiny. It is the choice to stand unbowed against impossible odds.""",282,2,4,
23049,Cosmic Epiphany,577779.0,['U'],['U'],,Draw cards equal to the number of instant and sorcery cards in your graveyard.,"""All knowledge, past and future, is etched upon reality. Every answer we seek is out there, hidden only by the limits of our minds.""
—Jodah",283,,,
23051,Ragefire Hellkite,577781.0,['R'],['R'],,"Flying
Whenever Ragefire Hellkite attacks, you may sacrifice another creature. If you do, Ragefire Hellkite gains double strike until end of turn.","""Well, the good news is that sound wasn't the volcano erupting . . .""
—George, Coalition scout",285,5,3,
23052,Briar Hydra,577782.0,['G'],['G'],,"Trample
Domain — Whenever Briar Hydra deals combat damage to a player, put X +1/+1 counters on target creature you control, where X is the number of basic land types among lands you control.",Flora and fauna alike rose to Yavimaya's defense.,286,6,6,
23205,Aven Sentry,442891.0,['W'],['W'],,Flying,"""My flock flew from a distant continent ruined by cataclysm and war. Benalia gave us shelter to end our exodus.""",3,3,2,
23206,"Baird, Steward of Argive",442892.0,['W'],['W'],['Legendary'],"Vigilance
Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.","""The walls of Argive were built by a peaceful dynastic union that has guarded us against war for fifteen centuries. The lesson is clear.""",4,2,4,
23207,Benalish Honor Guard,442893.0,['W'],['W'],,Benalish Honor Guard gets +1/+0 for each legendary creature you control.,"""The true measure of all heroes is not what they achieve, but who they inspire.""
—*Triumph of Gerrard*",5,2,2,
23208,Benalish Marshal,442894.0,['W'],['W'],,Other creatures you control get +1/+1.,"""Some aspire to climb the mountain of Honor. The Benalish are born upon its peak, and from there ascend among the stars.""
—*History of Benalia*",6,3,3,
23209,Blessed Light,442895.0,['W'],['W'],,Exile target creature or enchantment.,"Enchanted by mage-smiths and blessed by priests, Benalish windows let in light and cast out darkness.",7,,,
23210,Board the Weatherlight,442896.0,['W'],['W'],,"Look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.)",A new gathering for a new age.,8,,,
23211,Call the Cavalry,442897.0,['W'],['W'],,Create two 2/2 white Knight creature tokens with vigilance.,Benalish citizens born under the same constellations share a star-clan. Their loyalty to one another interlaces the Seven Houses.,9,,,
23212,Charge,442898.0,['W'],['W'],,Creatures you control get +1/+1 until end of turn.,"""Honor rides before us. All we have to do is catch up.""
—Danitha Capashen",10,,,
23213,D'Avenant Trapper,442899.0,['W'],['W'],,"Whenever you cast a historic spell, tap target creature an opponent controls. (Artifacts, legendaries, and Sagas are historic.)","""Go swiftly, clever arrow, and teach
The philosophy of stillness.""
—D'Avenant verse",11,3,2,
23216,Dauntless Bodyguard,442902.0,['W'],['W'],,"As Dauntless Bodyguard enters the battlefield, choose another creature you control.
Sacrifice Dauntless Bodyguard: The chosen creature gains indestructible until end of turn.","The Benalish aristocracy is hereditary, but the loyalty of its subjects is earned.",14,2,1,
23217,Dub,442903.0,['W'],['W'],,"Enchant creature
Enchanted creature gets +2/+2, has first strike, and is a Knight in addition to its other types. (It deals combat damage before creatures without first strike.)","""Rise, knight of New Benalia.""",15,,,
23218,"Evra, Halcyon Witness",442904.0,['W'],['W'],['Legendary'],"Lifelink
{4}: Exchange your life total with Evra, Halcyon Witness's power.","""Light from the Null Moon took form—a mirage made real, alone in grandeur, isolated in a world that once had been its own.""
—*Fall of the Thran*",16,4,4,
23222,Healing Grace,442908.0,['W'],['W'],,Prevent the next 3 damage that would be dealt to any target this turn by a source of your choice. You gain 3 life.,"""Whatever faith you have in Serra, she has more in you.""
—Lyra Dawnbringer",20,,,
23224,Invoke the Divine,442910.0,['W'],['W'],,Destroy target artifact or enchantment. You gain 4 life.,"""Let go of all that harms you. Cast your burdens into the darkness, and build for the faithful a house of light.""
—*Song of All*, canto 1008",22,,,
23225,Knight of Grace,442911.0,['W'],['W'],,"First strike
Hexproof from black (This creature can't be the target of black spells or abilities your opponents control.)
Knight of Grace gets +1/+0 as long as any player controls a black permanent.",A light to pierce the shadows.,23,2,2,
23226,Knight of New Benalia,442912.0,['W'],['W'],,,The mage-smiths of New Benalia have perfected the art of blending fine steel and enchanted glass into weapons that are both beautiful and deadly. Only elite knights are entrusted with these martial works of art.,24,3,1,
23227,"Kwende, Pride of Femeref",442913.0,['W'],['W'],['Legendary'],"Double strike
Creatures you control with first strike have double strike.","Descendant of a vanished land, student of a forgotten general, and master of blades no smith could forge anew. He honors them all by living a life worthy of song.",25,2,2,
23229,Mesa Unicorn,442915.0,['W'],['W'],,Lifelink,"The unicorns of Sursi are a manifestation of Serra's joy and compassion. They frolic and dance like children, offering blessings to anyone they encounter.",27,2,2,
23231,Pegasus Courser,442917.0,['W'],['W'],,"Flying
Whenever Pegasus Courser attacks, another target attacking creature gains flying until end of turn.","A pegasus chooses its rider, bearing the worthy into the clouds and tossing all others to the ground.",29,1,3,
23233,Seal Away,442919.0,['W'],['W'],,"Flash
When Seal Away enters the battlefield, exile target tapped creature an opponent controls until Seal Away leaves the battlefield.",An ancient nemesis rendered harmless long ago.,31,,,
23234,Sergeant-at-Arms,442920.0,['W'],['W'],,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
When Sergeant-at-Arms enters the battlefield, if it was kicked, create two 1/1 white Soldier creature tokens.",Knights get the glory. Soldiers get things done.,32,2,3,
23236,Serra Disciple,442922.0,['W'],['W'],,"Flying, first strike
Whenever you cast a historic spell, Serra Disciple gets +1/+1 until end of turn. (Artifacts, legendaries, and Sagas are historic.)",Theologians now believe the Ancestor was another divine form of Serra.,34,1,1,
23239,Tragic Poet,442925.0,['W'],['W'],,"{T}, Sacrifice Tragic Poet: Return target enchantment card from your graveyard to your hand.","""In a healing world I write—I, who will never be healed. Let my last gift be one of memory: from a thousand lost thoughts, choose one, and remember my name.""",37,1,1,
23243,Academy Journeymage,442929.0,['U'],['U'],,"This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.","""We don't choose who comes here. We choose how long they stay.""",41,3,2,
23245,Arcane Flight,442931.0,['U'],['U'],,"Enchant creature
Enchanted creature gets +1/+1 and has flying.","The Tolarian Academies are known for their magical research, powerful sorcerers, and accidental destruction of ecosystems.",43,,,
23247,Befuddle,442933.0,['U'],['U'],,"Target creature gets -4/-0 until end of turn.
Draw a card.","""The trick to talking sense into Keldons is getting them to hold still. I learned that from Radha.""
—Jhoira",45,,,
23250,Cold-Water Snapper,442936.0,['U'],['U'],,Hexproof (This creature can't be the target of spells or abilities your opponents control.),"For generations, the inhabitants of Orvada have hungered for turtle soup. For generations, the turtles have frustrated their ambitions.",48,4,5,
23252,Deep Freeze,442938.0,['U'],['U'],,"Enchant creature
Enchanted creature has base power and toughness 0/4, has defender, loses all other abilities, and is a blue Wall in addition to its other colors and types.","For cryomancers, studying the Ice Age isn't just an academic exercise.",50,,,
23253,Diligent Excavator,442939.0,['U'],['U'],,"Whenever you cast a historic spell, target player mills two cards. (Artifacts, legendaries, and Sagas are historic.)","Archaeologists don't just dig in the dirt. They excavate time, scraping off the years grain by grain.",51,1,3,
23255,Homarid Explorer,442941.0,['U'],['U'],,"When Homarid Explorer enters the battlefield, target player mills four cards.","""Homarids spread northward from Sarpadia as the climate cooled, raiding coastal settlements for supplies.""
—*Time of Ice*",53,3,3,
23256,In Bolas's Clutches,442942.0,['U'],['U'],['Legendary'],"Enchant permanent
You control enchanted permanent.
Enchanted permanent is legendary.","""Your contract is in default. You belong to me now. Serve, or die.""
—Nicol Bolas",54,,,
23257,Karn's Temporal Sundering,442943.0,['U'],['U'],['Legendary'],"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Target player takes an extra turn after this one. Return up to one target nonland permanent to its owner's hand. Exile Karn's Temporal Sundering.","Centuries ago, a quest to harness time became a spiral into chaos.",55,,,
23258,Merfolk Trickster,442944.0,['U'],['U'],,"Flash
When Merfolk Trickster enters the battlefield, tap target creature an opponent controls. It loses all abilities until end of turn.","Saved from destruction by one planeswalker's sacrifice, the Eliterate colony forswore the taking of life.",56,2,2,
23260,"Naban, Dean of Iteration",442946.0,['U'],['U'],['Legendary'],"If a Wizard entering the battlefield under your control causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.","""Perfect. Now do it again.""",58,2,1,
23262,Opt,442948.0,['U'],['U'],,"Scry 1.
Draw a card.",The crystal pulsed with the power of Teferi's planeswalker spark. Had Jhoira given him a blessing or a curse?,60,,,
23265,Rescue,442951.0,['U'],['U'],,Return target permanent you control to its owner's hand.,"With just a few seconds to escape, Deryan saved Hurkyl's editions on restoring physical objects from ash.",63,,,
23270,Tempest Djinn,442956.0,['U'],['U'],,"Flying
Tempest Djinn gets +1/+0 for each basic Island you control.","The first to arrive on Dominaria from their distant home, the marids are the oldest tribe of djinn and the most respected by storm and sea.",68,0,4,
23271,"Tetsuko Umezawa, Fugitive",442957.0,['U'],['U'],['Legendary'],Creatures you control with power or toughness 1 or less can't be blocked.,"""My ancestor Toshiro used to say, 'Life is a series of choices between bad and worse.' I'm a master of making great bad choices.""",69,1,3,
23273,Tolarian Scholar,442959.0,['U'],['U'],,,The Tolarian Academies embrace a tradition of study and research while discouraging the kinds of experiments that ruined the original island of Tolaria.,71,2,3,
23274,Unwind,442960.0,['U'],['U'],,Counter target noncreature spell. Untap up to three lands.,"""A problem is only a problem if you don't have the tools to correct it.""
—Jhoira",72,,,
23275,Vodalian Arcanist,442961.0,['U'],['U'],,{T}: Add {C}. Spend this mana only to cast an instant or sorcery spell.,"The Vodalian Empire tends to be insular. The scholarly Volshe caste are the exception, using education as an antidote to xenophobia.",73,1,3,
23276,Weight of Memory,442962.0,['U'],['U'],,Draw three cards. Target player mills three cards.,"In lives that have stretched for centuries, there are bound to be a few awkward silences.",74,,,
23277,Wizard's Retort,442963.0,['U'],['U'],,"This spell costs {1} less to cast if you control a Wizard.
Counter target spell.","""The second mage learned to dissipate blasts of lightning. Threat and response: thus did the study of magic progress.""
—Naban, dean of iteration",75,,,
23278,"Zahid, Djinn of the Lamp",442964.0,['U'],['U'],['Legendary'],"You may pay {3}{U} and tap an untapped artifact you control rather than pay this spell's mana cost.
Flying","""I do as I please, little mortal. Do go on about your wishes, though—they amuse me to no end.""",76,5,6,
23279,Blessing of Belzenlok,442965.0,['B'],['B'],,"Target creature gets +2/+1 until end of turn. If it's legendary, it also gains lifelink until end of turn.","""My heart is not mine, it is Belzenlok's. All hearts are his, and all blood.""
—""Rite of Belzenlok""",77,,,
23280,Cabal Evangel,442966.0,['B'],['B'],,,"""All hail the Demonlord Belzenlok, Evincar of the Stronghold, Scion of Darkness, Doom of Fools, Lord of the Wastes, Master of the Ebon Hand, Eternal Patriarch of the Cabal . . .""",78,2,2,
23281,Cabal Paladin,442967.0,['B'],['B'],,"Whenever you cast a historic spell, Cabal Paladin deals 2 damage to each opponent. (Artifacts, legendaries, and Sagas are historic.)","""The Demonlord has ruled every age. Every ruin, myth, and nightmare proves his power.""
—""Rite of Belzenlok""",79,4,2,
23282,Caligo Skin-Witch,442968.0,['B'],['B'],,"Kicker {3}{B} (You may pay an additional {3}{B} as you cast this spell.)
When Caligo Skin-Witch enters the battlefield, if it was kicked, each opponent discards two cards.","""Take their faces. The lips of these unbelievers may yet honor the Demonlord.""",80,1,3,
23285,Dark Bargain,442971.0,['B'],['B'],,Look at the top three cards of your library. Put two of them into your hand and the other into your graveyard. Dark Bargain deals 2 damage to you.,"""I have pustules of the great Ratadrabik, very cheap. No? Surely you'll want a tincture of Nevinyrral's pulverized remains. Genuine!""",83,,,
23286,Deathbloom Thallid,442972.0,['B'],['B'],,"When Deathbloom Thallid dies, create a 1/1 green Saproling creature token.","""Nature is not always gentle or kind, but all life begets life.""
—Marwyn of Llanowar",84,3,2,
23287,Demonic Vigor,442973.0,['B'],['B'],,"Enchant creature
Enchanted creature gets +1/+1.
When enchanted creature dies, return that card to its owner's hand.","In the Cabal, death is just another mark of devotion.",85,,,
23290,Dread Shade,442976.0,['B'],['B'],,{B}: Dread Shade gets +1/+1 until end of turn.,"""The forest surrounding the Vess estate became the Caligo Morass, a vast bog stalked by horrors too terrible to name.""
—""The Fall of the House of Vess""",88,3,3,
23291,Drudge Sentinel,442977.0,['B'],['B'],,"{3}: Tap Drudge Sentinel. It gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",The Cabal assured the Seven Houses that hostages receive all the food and rest they require.,89,2,1,
23293,Eviscerate,442979.0,['B'],['B'],,Destroy target creature.,"""Fear the dark if you must, but don't mistake sunlight for safety.""
—Josu Vess",91,,,
23294,Feral Abomination,442980.0,['B'],['B'],,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),"""Urborg used to be lovely—scenic volcanoes, respectable lich lords. Since the Cabal came with their nightmares and thrulls, it's all gone to the worms.""
—Mister Lostspoons, Skulltown gossip",92,5,5,
23295,Final Parting,442981.0,['B'],['B'],,Search your library for two cards. Put one into your hand and the other into your graveyard. Then shuffle.,"""Sleep now, brother. That is the one gift I can give you.""
—Liliana Vess",93,,,
23296,Fungal Infection,442982.0,['B'],['B'],,Target creature gets -1/-1 until end of turn. Create a 1/1 green Saproling creature token.,"To thallids, the whole world is just a pile of mulch to grow saprolings in.",94,,,
23299,Knight of Malice,442985.0,['B'],['B'],,"First strike
Hexproof from white (This creature can't be the target of white spells or abilities your opponents control.)
Knight of Malice gets +1/+0 as long as any player controls a white permanent.",A shadow to swallow the light.,97,2,2,
23301,Lingering Phantom,442987.0,['B'],['B'],,"Whenever you cast a historic spell, you may pay {B}. If you do, return Lingering Phantom from your graveyard to your hand. (Artifacts, legendaries, and Sagas are historic.)","""True power never dies, but lies awake, waiting for its name to be spoken.""
—*The Eldest Reborn*",99,5,4,
23303,Rat Colony,442989.0,['B'],['B'],,"Rat Colony gets +1/+0 for each other Rat you control.
A deck can have any number of cards named Rat Colony.",Wreckage from the Phyrexian Invasion provided the rats with a seemingly unlimited number of breeding grounds.,101,2,1,
23305,Settle the Score,442991.0,['B'],['B'],,Exile target creature. Put two loyalty counters on a planeswalker you control.,"""You bound me with a contract only your death could end—and you thought me the fool?""
—Liliana Vess",103,,,
23306,Soul Salvage,442992.0,['B'],['B'],,Return up to two target creature cards from your graveyard to your hand.,The first mistake the Grimnant knights made was bullying the owner of an Urborg corpse shop. Their second mistake was dying.,104,,,
23308,Thallid Omnivore,442994.0,['B'],['B'],,"{1}, Sacrifice another creature: Thallid Omnivore gets +2/+2 until end of turn. If a Saproling was sacrificed this way, you gain 2 life.",Thelon of Havenwood created thallids as a food source in times of darkness. Thallids did the same with saprolings.,106,3,3,
23309,Thallid Soothsayer,442995.0,['B'],['B'],,"{2}, Sacrifice a creature: Draw a card.",Some of the thallids that escaped into the fens of Urborg began emulating the Cabal's bloodsoaked rituals in their own peculiar way.,107,2,3,
23311,"Urgoros, the Empty One",442997.0,['B'],['B'],['Legendary'],"Flying
Whenever Urgoros, the Empty One deals combat damage to a player, that player discards a card at random. If the player can't, you draw a card.","As the phantom flies overhead, the city of Vhelnish screams in silence.",109,4,3,
23313,"Whisper, Blood Liturgist",442999.0,['B'],['B'],['Legendary'],"{T}, Sacrifice two creatures: Return target creature card from your graveyard to the battlefield.","""Look how they beg for the knife! The Demonlord has trained them well.""",111,2,2,
23314,Windgrace Acolyte,443000.0,['B'],['B'],,"Flying
When Windgrace Acolyte enters the battlefield, mill three cards and you gain 3 life.",Acolytes of the lost Lord Windgrace fight to keep Urborg relics out of Cabal hands.,112,3,2,
23315,"Yargle, Glutton of Urborg",443001.0,['B'],['B'],['Legendary'],,"When Belzenlok's lieutenant Yar-Kul grew too ambitious, the Demonlord transformed him into a maggot. The frog that ate the maggot grew and grew, until a ravenous spirit burst from its body.",113,9,3,
23316,Yawgmoth's Vile Offering,443002.0,['B'],['B'],['Legendary'],"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Put up to one target creature or planeswalker card from a graveyard onto the battlefield under your control. Destroy up to one target creature or planeswalker. Exile Yawgmoth's Vile Offering.","Centuries ago, a mad god offered a simple trade.",114,,,
23317,Bloodstone Goblin,443003.0,['R'],['R'],,"Whenever you cast a spell, if that spell was kicked, Bloodstone Goblin gets +1/+1 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)","The stone whispers tales of darkness and fire. She replies, ""Tell me more.""",115,2,2,
23319,Fervent Strike,443005.0,['R'],['R'],,Target creature gets +1/+0 and gains first strike and haste until end of turn.,"""The flame paints a bright wheel on the sky, then shifts into a stabbing spark. The enemy falls; the smoke of victory rises.""
—""Legends of the Firedancer""",117,,,
23320,Fiery Intervention,443006.0,['R'],['R'],,"Choose one —
• Fiery Intervention deals 5 damage to target creature.
• Destroy target artifact.",Burning something is easy. Choosing a target can be more difficult.,118,,,
23323,Firefist Adept,443009.0,['R'],['R'],,"When Firefist Adept enters the battlefield, it deals X damage to target creature an opponent controls, where X is the number of Wizards you control.","The versatile ""fiery gauntlet"" is among the first spells young Ghitu mages learn.",121,3,3,
23326,Frenzied Rage,443012.0,['R'],['R'],,"Enchant creature
Enchanted creature gets +2/+1 and has menace. (It can't be blocked except by two or more creatures.)","""The heat in our hearts sometimes rises to the surface.""
—Valduk, keeper of the Flame",124,,,
23327,Ghitu Chronicler,443013.0,['R'],['R'],,"Kicker {3}{R} (You may pay an additional {3}{R} as you cast this spell.)
When Ghitu Chronicler enters the battlefield, if it was kicked, return target instant or sorcery card from your graveyard to your hand.","""What fire forged, fire remembers.""",125,1,3,
23328,Ghitu Journeymage,443014.0,['R'],['R'],,"When Ghitu Journeymage enters the battlefield, if you control another Wizard, Ghitu Journeymage deals 2 damage to each opponent.",The Ghitu of Shiv are as fierce and uncompromising as their volcanic home.,126,3,2,
23329,Ghitu Lavarunner,443015.0,['R'],['R'],,"As long as there are two or more instant and/or sorcery cards in your graveyard, Ghitu Lavarunner gets +1/+0 and has haste.",Tolarians teach the theory of pyromancy. The Ghitu prefer applied research.,127,1,2,
23331,Goblin Chainwhirler,443017.0,['R'],['R'],,"First strike
When Goblin Chainwhirler enters the battlefield, it deals 1 damage to each opponent and each creature and planeswalker they control.","""The trick is, once you get moving, don't stop!""",129,3,3,
23337,Keldon Raider,443023.0,['R'],['R'],,"When Keldon Raider enters the battlefield, you may discard a card. If you do, draw a card.","Keldon raiders' spoils are limited to what their colos can carry. No matter the value, the rest goes up in smoke.",135,4,3,
23338,Keldon Warcaller,443024.0,['R'],['R'],,"Whenever Keldon Warcaller attacks, put a lore counter on target Saga you control.","""The Mountain gave the Flame to Kradak to light the furnaces of his people's hearts. The wanderers became Keldons, and he the first warlord.""
—""The Flame of Keld""",136,2,2,
23340,Radiating Lightning,443026.0,['R'],['R'],,Radiating Lightning deals 3 damage to target player and 1 damage to each creature that player controls.,"As the Cabal legions pushed into Shiv, they learned not to stand so close together.",138,,,
23341,Rampaging Cyclops,443027.0,['R'],['R'],,Rampaging Cyclops gets -2/-0 as long as two or more creatures are blocking it.,Keldon warriors take advantage of the cyclops's inability to focus on more than one thing at a time.,139,4,4,
23342,Run Amok,443028.0,['R'],['R'],,Target attacking creature gets +3/+3 and gains trample until end of turn.,Keld faced an apocalypse to fulfill a dire prophecy. Now Keldons have nothing left to believe in except themselves.,140,,,
23343,Seismic Shift,443029.0,['R'],['R'],,Destroy target land. Up to two target creatures can't block this turn.,"""Shiv is a restless land. It heaves ash, bleeds lava, and scabs over in black obsidian.""
—*The First Eruption*",141,,,
23344,Shivan Fire,443030.0,['R'],['R'],,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Shivan Fire deals 2 damage to target creature. If this spell was kicked, it deals 4 damage instead.",Sometimes Shivan dragons toy with their food. Other times they just cook it.,142,,,
23347,Skizzik,443033.0,['R'],['R'],,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Trample, haste
At the beginning of the end step, if Skizzik wasn't kicked, sacrifice it.","It skitters across Shiv, each tendril hitting the ground with a sharp snap.",145,5,3,
23348,"Squee, the Immortal",443034.0,['R'],['R'],['Legendary'],"You may cast Squee, the Immortal from your graveyard or from exile.","""You gotta be pretty smart to live long as me, but not being able to die helps.""",146,2,1,
23349,Two-Headed Giant,443035.0,['R'],['R'],,"Whenever Two-Headed Giant attacks, flip two coins. If both coins come up heads, Two-Headed Giant gains double strike until end of turn. If both coins come up tails, Two-Headed Giant gains menace until end of turn.","He watches the pass in both directions, and all must pay his toll.",147,4,4,
23352,Warcry Phoenix,443038.0,['R'],['R'],,"Flying, haste
Whenever you attack with three or more creatures, you may pay {2}{R}. If you do, return Warcry Phoenix from your graveyard to the battlefield tapped and attacking.",War begins with one red ember.,150,2,2,
23353,Warlord's Fury,443039.0,['R'],['R'],,"Creatures you control gain first strike until end of turn.
Draw a card.","""The old ways were for a winter world. We do what's best for us, not for the past. We are Keldons!""
—Grand Warlord Radha",151,,,
23354,Wizard's Lightning,443040.0,['R'],['R'],,"This spell costs {2} less to cast if you control a Wizard.
Wizard's Lightning deals 3 damage to any target.","""The study of magic began when the first mage taught herself to throw lightning.""
—Naban, dean of iteration",152,,,
23355,Adventurous Impulse,443041.0,['G'],['G'],,Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,Every odyssey begins with a single step.,153,,,
23357,Arbor Armament,443043.0,['G'],['G'],,Put a +1/+1 counter on target creature. That creature gains reach until end of turn.,"""Llanowar's boughs are ever ready
To unleash an autumn of steel leaves.""
—""Song of Freyalise""",155,,,
23358,Baloth Gorger,443044.0,['G'],['G'],,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
If Baloth Gorger was kicked, it enters the battlefield with three +1/+1 counters on it.",A baloth only cares about the many things it eats and the few things that eat it.,156,4,4,
23359,Broken Bond,443045.0,['G'],['G'],,Destroy target artifact or enchantment. You may put a land card from your hand onto the battlefield.,"""I can't bear to see another plane broken before I make my own home whole. I'm sorry, but my watch is over.""",157,,,
23360,Corrosive Ooze,443046.0,['G'],['G'],,"Whenever Corrosive Ooze blocks or becomes blocked by an equipped creature, destroy all Equipment attached to that creature at end of combat.",Nothing tastes finer to an ooze than a priceless family heirloom.,158,2,2,
23361,Elfhame Druid,443047.0,['G'],['G'],,"{T}: Add {G}.
{T}: Add {G}{G}. Spend this mana only to cast kicked spells.",The bond between Llanowar elves and their kavu empowers both.,159,0,2,
23362,Fungal Plots,443048.0,['G'],['G'],,"{1}{G}, Exile a creature card from your graveyard: Create a 1/1 green Saproling creature token.
Sacrifice two Saprolings: You gain 2 life and draw a card.","Thallids nurture saprolings, entertain them, and eat them.",160,,,
23364,Gaea's Protector,443050.0,['G'],['G'],,Gaea's Protector must be blocked if able.,"Fallen Phyrexians were transmuted into elementals by Gaea long ago, but Yavimaya's other inhabitants still regard them with unease.",162,4,2,
23368,Kamahl's Druidic Vow,443054.0,['G'],['G'],['Legendary'],"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Look at the top X cards of your library. You may put any number of land and/or legendary permanent cards with mana value X or less from among them onto the battlefield. Put the rest into your graveyard.","Centuries ago, a barbarian laid his rage to rest.",166,,,
23369,Krosan Druid,443055.0,['G'],['G'],,"Kicker {4}{G} (You may pay an additional {4}{G} as you cast this spell.)
When Krosan Druid enters the battlefield, if it was kicked, you gain 10 life.","""Druids endure disaster as seeds endure winter. Now Krosa blooms once more.""",167,2,3,
23371,Llanowar Envoy,443057.0,['G'],['G'],,{1}{G}: Add one mana of any color.,"""Cherish this world in honor of the martyrs who saved it. We too must be prepared to give our lives.""
—*The Mending of Dominaria*",169,3,2,
23372,Llanowar Scout,443058.0,['G'],['G'],,{T}: You may put a land card from your hand onto the battlefield.,Llanowar elfhames occupy different heights within the great forest. Elves of the Loridalh and Kelfae hames can see neither earth nor sky.,170,1,3,
23373,Mammoth Spider,443059.0,['G'],['G'],,Reach (This creature can block creatures with flying.),Most spiders of Llanowar disdain elvish alliances. No elf has as many beautiful eyes or as many strong arms.,171,3,5,
